Names,Team,ADP,PoS Rank,2024 Rush Attempts,2024 Targets,2024 Opportunities,Backfield (Rush),O-Line Ranks,Injury,,,,,,
Bijan Robinson,(ATL),2.7,RB1.3,304,72,376,100-200,7,,,,,,Key,
Saquon Barkley,(PHI),4.7,RB2.0,345,43,388,FULL,1,,,,,,RB1,
Jahmyr Gibbs,(DET),5.3,RB2.7,250,63,313,split/favorite,5,,,,,,RB2,
De'Von Achane,(MIA),11.3,RB4.8,203,87,290,<100,27,,,,,,RB3,
Ashton Jeanty,(LV),12.5,RB5.8,,,,rookie,23,,,,,,,
Christian McCaffrey,(SF),13.8,RB6.2,50,19,69,hurt,19,"Knee, played 4 games",,,,,New Team,
Derrick Henry,(BAL),14.2,RB5.8,325,22,347,FULL,10,,,,,,Rookie,
Jonathan Taylor,(IND),21.2,RB8.7,303,31,334,FULL,13,,,,,,,
Josh Jacobs,(GB),21.3,RB8.7,301,43,344,FULL,11,,,,,,300+ Rushes,
Bucky Irving,(TB),22.5,RB9.5,207,52,259,split/favorite,3,,,,,,<100 Rushes,
Kyren Williams,(LAR),28.2,RB11.3,316,40,356,<100,12,,,,,,,
Chase Brown,(CIN),31.5,RB12.5,229,65,294,<125,31,,,,,,split backfield,
Breece Hall,(NYJ),33.7,RB13.2,209,76,285,<125,17,,,,,,split favorite,
James Cook,(BUF),35,RB13.8,207,38,245,100-200,4,,,,,,hurt in 2024,
Kenneth Walker III,(SEA),43,RB15.8,153,53,206,split,30,High Ankle,"Missed end of last year, training camp expected. New OC use RBs in pass",,,,new rb on team,
Joe Mixon,(HOU),44.3,RB16.7,245,52,297,new rb,32,PUP/NFI Ankle,,,,,,
Alvin Kamara,(NO),45,RB17.0,228,89,317,new rb,25,,,,,,Top Targets,
Omarion Hampton,(LAC),47.5,RB17.5,,,,rookie,8,,,,,,Led Team,
Chuba Hubbard,(CAR),48.2,RB18.2,250,54,304,new rb,15,,,,,,Top 10 Opp.,
James Conner,(ARI),51.3,RB18.8,236,55,291,<100,16,,,,,,,
David Montgomery,(DET),59.7,RB21.8,185,38,223,split,5,,,,,,FULL,300+ and 2nd <100
D'Andre Swift,(CHI),66,RB23.5,253,52,305,<100,9,,,,,,split,two rbs <250 and >150
Aaron Jones Sr.,(MIN),66.8,RB23.8,255,62,317,new rb,6,,,,,,backup,<100
TreVeyon Henderson,(NE),68,RB24.0,,,,rookie,29,,,,,,handcuff,100-125
Tony Pollard,(TEN),68.5,RB24.7,260,57,317,<125,20,,,,,,,
RJ Harvey,(DEN),71.3,RB25.5,,,,rookie,2,,,,,,Tier 1 OLine,
Isiah Pacheco,(KC),74.5,RB26.3,83,16,99,hurt,18,coming off,,,,,Tier 2,
Kaleb Johnson,(PIT),79,RB28.0,,,,rookie,22,,,,,,Tier 3,
Jaylen Warren,(PIT),87.2,RB30.3,120,48,168,new rb,22,,,,,,,
Brian Robinson Jr.,(WAS),87.7,RB29.7,187,25,212,<125,14,,,,,,,
Quinshon Judkins,(CLE),87.7,RB30.3,,,,rookie,24,,,,,,,
Tyrone Tracy Jr.,(NYG),95.2,RB32.3,192,53,245,new rb,28,,,,,,,
Travis Etienne Jr.,(JAC),101.5,RB33.2,150,52,202,split,26,,,,,,,
Najee Harris,(LAC),105.3,RB35.3,263,48,311,new team,8,PUP/NFI Eye,,,,,,
Rhamondre Stevenson,(NE),106.3,RB35.0,207,41,248,new rb,29,,,,,,,
Cam Skattebo,(NYG),109,RB36.2,,,,rookie,28,,,,,,,
Javonte Williams,(DAL),111.3,RB36.5,139,70,209,new team,21,,,,,,,
Zach Charbonnet,(SEA),116.7,RB38.5,135,52,187,split,30,,,,,,,
Jaleel McLaughlin,(DEN),118,RB41.0,113,27,140,2 new rb,2,,,,,,,
Jordan Mason,(MIN),118.2,RB41.0,153,14,167,new team,6,,,,,,,
J.K. Dobbins,(DEN),119.3,RB40.7,195,38,233,new team,2,,,,,,,
Zack Moss,(CIN),121,RB44.0,74,27,101,handcuff,31,,,,,,,
Rachaad White,(TB),126,RB40.5,144,57,201,split,3,,,,,,,
Jaydon Blue,(DAL),126.5,RB45.5,,,,rookie,21,,,,,,,
Austin Ekeler,(WAS),127.3,RB41.3,77,41,118,handcuff,14,,,,,,,
Tyjae Spears,(TEN),129.3,RB42.2,84,35,119,handcuff,20,,,,,,,
Tank Bigsby,(JAC),131.5,RB42.3,168,12,180,split,26,,,,,,,
Roschon Johnson,(CHI),133,RB49.0,55,20,75,backup,9,,,,,,,
Tyler Allgeier,(ATL),133.3,RB43.5,137,13,150,handcuff,7,,,,,,,
Isaac Guerendo,(SF),134.5,RB46.3,84,16,100,backup,19,,,,,,,
Bhayshul Tuten,(JAC),136.5,RB46.0,,,,rookie,26,,,,,,,
Ray Davis,(BUF),136.8,RB46.8,113,19,132,handcuff,4,,,,,,,
Braelon Allen,(NYJ),139.3,RB49.3,92,27,119,handcuff,17,,,,,,,
Trey Benson,(ARI),140.6,RB47.6,63,6,69,backup,16,,,,,,,
Jaylen Wright,(MIA),141,RB49.3,68,6,74,backup,27,,,,,,,
Rico Dowdle,(CAR),142.5,RB45.0,235,49,284,new team,15,,,,,,,
Will Shipley,(PHI),143,RB53.0,30,4,34,backup,1,,,,,,,
Jerome Ford,(CLE),146,RB54.0,104,43,147,new rb,24,,,,,,,
Blake Corum,(LAR),150,RB51.0,58,8,66,backup,12,Forearm,"Fractured week 18, expected workouts",,,,,