type,length,start_season,start_week,end_season,end_week,total_pf,total_pa,user_id,owner
loss,9,2023,2,2023,10,1001.12,1295.52,21679440,Joey
loss,9,2021,11,2022,3,989.88,1151.24,21679454,Connie
loss,9,2021,6,2021,14,925.18,1222.84,21680276,CJ
win,8,2021,9,2021,16,1255.98,916.8,21679440,Joey
loss,8,2023,17,2024,7,884.32,1111.64,25033943,Isaac
win,7,2019,9,2019,16,1054.48,763.3,21679440,Joey
win,7,2023,13,2024,3,1014.58,779.9,21679454,Connie
win,7,2025,4,2025,10,949.24,865.2,21679447,Mason
loss,7,2019,5,2019,11,708.38,906.14,21680087,Kyle
loss,7,2019,10,2020,1,558.96,853.66,21688760,Sean
win,7,2021,10,2021,17,1013.6,716.2,21680417,Chris
win,7,2020,12,2021,2,994.24,794.84,21680682,Andrew
win,7,2024,5,2024,11,1002.44,798.7,21680682,Andrew
win,7,2025,6,2025,12,1017.82,811.62,25033943,Isaac
win,6,2022,5,2022,10,807.48,674.68,21679440,Joey
loss,6,2021,4,2021,9,666.04,772.98,21679454,Connie
win,6,2025,11,2025,16,752.62,603.48,21679454,Connie
win,6,2019,9,2019,15,861.24,621.7,21679447,Mason
win,6,2021,8,2021,13,808.92,632.84,21680087,Kyle
loss,6,2022,16,2023,4,623.2,780.42,21680087,Kyle
win,6,2021,3,2021,8,841.7,726.6,21688760,Sean
loss,6,2019,1,2019,6,724.22,846.56,5159801,John
loss,6,2023,8,2023,13,596.84,812.8,21680682,Andrew
loss,6,2020,13,2021,2,705.5,903.68,25036608,Luke
loss,6,2025,10,2025,15,555.7,753.42,25036608,Luke
win,6,2022,14,2023,2,735.28,588.7,25033943,Isaac
loss,5,2021,4,2021,8,612.68,760.92,21679440,Joey
loss,5,2024,8,2024,12,579.32,716.62,21679440,Joey
loss,5,2023,3,2023,7,566.72,663.02,21679454,Connie
win,5,2019,3,2019,7,664.26,551.48,21679447,Mason
win,5,2020,1,2020,5,713.94,567.02,21679447,Mason
win,5,2021,15,2022,2,561.7,516.8,22539599,Charlie
win,5,2022,17,2023,4,727.32,496.32,22539599,Charlie
loss,5,2023,7,2023,11,450.22,629.06,21680087,Kyle
loss,5,2020,8,2020,12,509.86,636.62,21688760,Sean
win,5,2022,2,2022,6,674.56,443.36,21688760,Sean
win,5,2024,3,2024,7,683.68,558.98,21688760,Sean
loss,5,2020,15,2021,3,513.86,662.92,21680276,CJ
loss,5,2022,10,2022,14,429.18,561.18,21680276,CJ
loss,5,2019,15,2020,3,650.0,717.72,21680417,Chris
win,5,2021,3,2021,7,809.42,601.08,21680417,Chris
loss,5,2023,11,2023,15,532.38,676.0,21680417,Chris
win,5,2025,11,2025,15,653.18,536.26,21680417,Chris
loss,5,2019,8,2019,12,449.16,654.4,21687512,Costigan
win,5,2025,1,2025,5,640.3,493.46,21680682,Andrew
loss,5,2022,5,2022,9,534.08,636.44,21239480,Connor
loss,5,2022,11,2022,15,569.14,723.6,21239480,Connor
win,5,2020,6,2020,10,642.5,496.3,25036608,Luke
loss,5,2022,4,2022,8,590.16,660.88,25036608,Luke
loss,5,2022,14,2023,2,431.76,631.74,25036608,Luke
win,5,2024,14,2025,1,647.66,599.32,25036608,Luke
loss,5,2020,2,2020,6,497.86,642.16,25033943,Isaac
win,5,2023,11,2023,16,659.3,557.34,25033943,Isaac
win,4,2020,16,2021,3,589.2,528.76,21679440,Joey
loss,4,2025,1,2025,4,440.18,553.0,21679440,Joey
win,4,2025,13,2025,17,543.98,470.06,21679440,Joey
loss,4,2020,3,2020,6,557.24,609.04,21679454,Connie
win,4,2020,7,2020,10,591.06,420.6,21679454,Connie
win,4,2022,10,2022,13,520.5,442.34,21679454,Connie
win,4,2023,8,2023,11,551.02,479.1,21679454,Connie
loss,4,2024,14,2025,1,469.16,547.76,21679454,Connie
win,4,2023,14,2024,1,546.72,404.66,21679447,Mason
loss,4,2024,9,2024,12,386.38,501.28,21679447,Mason
loss,4,2020,12,2020,16,365.08,541.16,22539599,Charlie
loss,4,2022,5,2022,8,463.2,520.7,22539599,Charlie
win,4,2022,12,2022,15,499.3,385.36,22539599,Charlie
win,4,2024,6,2024,9,506.94,421.84,22539599,Charlie
loss,4,2024,10,2024,13,445.6,535.44,22539599,Charlie
win,4,2020,15,2021,2,568.72,475.02,21680087,Kyle
win,4,2022,5,2022,8,546.66,398.24,21680087,Kyle
win,4,2023,12,2023,15,544.6,475.76,21680087,Kyle
loss,4,2024,5,2024,8,423.16,510.46,21680087,Kyle
win,4,2020,2,2020,5,514.86,439.0,21688760,Sean
win,4,2020,13,2021,1,543.0,424.74,21688760,Sean
win,4,2019,4,2019,7,576.66,399.82,21680267,Krish
loss,4,2019,4,2019,7,366.46,429.8,21680276,CJ
win,4,2020,4,2020,7,479.4,410.44,21680276,CJ
win,4,2019,2,2019,5,509.48,471.7,21687734,Ari
win,4,2019,11,2019,14,462.88,379.02,21687734,Ari
win,4,2022,2,2022,5,524.48,433.78,21680417,Chris
win,4,2023,3,2023,6,482.54,438.86,21680417,Chris
win,4,2024,2,2024,5,561.22,428.9,21680417,Chris
loss,4,2025,1,2025,4,481.28,518.16,21680417,Chris
win,4,2019,4,2019,7,459.78,376.1,21687512,Costigan
loss,4,2019,1,2019,4,414.82,480.1,21680682,Andrew
loss,4,2019,10,2019,13,365.8,458.14,21680682,Andrew
loss,4,2025,12,2025,16,381.72,474.5,21680682,Andrew
win,4,2019,8,2019,11,560.48,370.86,21239480,Connor
loss,4,2019,12,2019,16,373.8,471.0,21239480,Connor
win,4,2024,1,2024,4,601.06,406.54,21239480,Connor
loss,4,2024,5,2024,8,494.58,587.08,21239480,Connor
win,4,2023,3,2023,6,573.64,458.02,25036608,Luke
loss,4,2023,14,2024,1,390.52,493.7,25036608,Luke
win,4,2024,9,2024,12,475.46,409.08,25036608,Luke
loss,4,2025,4,2025,7,389.72,474.24,25036608,Luke
win,4,2024,17,2025,3,573.98,448.42,25033943,Isaac
win,4,2023,5,2023,8,536.04,447.68,30533399,Evan
loss,4,2024,7,2024,10,375.32,551.94,30533399,Evan
win,4,2024,15,2025,1,636.26,441.5,30533399,Evan
win,3,2022,1,2022,3,409.26,355.64,21679440,Joey
win,3,2022,12,2022,14,386.9,305.86,21679440,Joey
win,3,2023,13,2023,15,367.66,298.4,21679440,Joey
loss,3,2024,2,2024,4,320.84,411.22,21679440,Joey
win,3,2024,5,2024,7,382.12,340.74,21679440,Joey
win,3,2025,5,2025,7,425.78,349.6,21679440,Joey
loss,3,2019,10,2019,12,243.66,375.12,21679454,Connie
win,3,2019,13,2019,15,396.34,283.46,21679454,Connie
loss,3,2020,11,2020,13,320.5,378.36,21679454,Connie
loss,3,2022,14,2022,17,225.26,360.96,21679454,Connie
loss,3,2025,5,2025,7,255.22,384.44,21679454,Connie
win,3,2020,10,2020,12,450.46,287.52,21679447,Mason
loss,3,2020,13,2020,15,346.02,448.28,21679447,Mason
win,3,2021,6,2021,8,405.42,372.88,21679447,Mason
win,3,2023,9,2023,11,439.56,315.9,21679447,Mason
loss,3,2024,5,2024,7,321.78,344.44,21679447,Mason
loss,3,2024,14,2024,17,312.6,422.18,21679447,Mason
win,3,2025,14,2025,17,430.8,266.92,21679447,Mason
loss,3,2019,4,2019,6,318.46,405.38,22539599,Charlie
win,3,2019,10,2019,12,361.22,292.5,22539599,Charlie
loss,3,2020,1,2020,3,322.02,426.76,22539599,Charlie
win,3,2021,7,2021,9,326.98,295.4,22539599,Charlie
loss,3,2021,10,2021,12,285.68,365.98,22539599,Charlie
loss,3,2024,3,2024,5,329.86,464.06,22539599,Charlie
loss,3,2024,16,2025,1,284.94,355.62,22539599,Charlie
loss,3,2025,9,2025,11,340.56,387.8,22539599,Charlie
win,3,2020,3,2020,5,447.12,370.32,21680087,Kyle
loss,3,2020,6,2020,8,304.56,380.72,21680087,Kyle
loss,3,2021,3,2021,5,330.02,401.66,21680087,Kyle
win,3,2022,1,2022,3,375.26,337.82,21680087,Kyle
win,3,2025,9,2025,11,372.48,297.92,21680087,Kyle
win,3,2019,1,2019,3,358.24,310.44,21688760,Sean
win,3,2023,1,2023,3,368.82,274.0,21688760,Sean
win,3,2024,9,2024,11,480.8,316.02,21688760,Sean
loss,3,2024,16,2025,1,380.28,421.52,21688760,Sean
win,3,2025,2,2025,4,456.38,376.08,21688760,Sean
loss,3,2025,14,2025,17,246.26,355.5,21688760,Sean
loss,3,2019,11,2019,13,307.96,416.24,5159801,John
win,3,2019,11,2019,13,380.36,299.34,21680276,CJ
win,3,2019,16,2020,2,443.42,351.22,21680276,CJ
win,3,2020,9,2020,11,390.98,370.62,21680276,CJ
win,3,2022,15,2022,17,373.84,203.2,21680276,CJ
loss,3,2019,3,2019,5,276.96,428.82,21680417,Chris
win,3,2020,4,2020,6,407.38,272.18,21680417,Chris
loss,3,2020,7,2020,9,272.16,394.8,21680417,Chris
loss,3,2020,16,2021,2,347.9,437.28,21680417,Chris
loss,3,2022,12,2022,14,301.14,399.14,21680417,Chris
loss,3,2022,17,2023,2,262.96,362.78,21680417,Chris
win,3,2024,10,2024,12,378.84,314.48,21680417,Chris
loss,3,2025,8,2025,10,357.48,400.68,21680417,Chris
win,3,2019,14,2019,16,365.0,276.94,21680682,Andrew
loss,3,2021,3,2021,5,281.4,382.84,21680682,Andrew
loss,3,2021,7,2021,9,286.48,343.92,21680682,Andrew
loss,3,2021,11,2021,13,338.68,443.02,21680682,Andrew
win,3,2022,5,2022,7,375.08,334.22,21680682,Andrew
win,3,2022,12,2022,14,452.6,365.84,21680682,Andrew
loss,3,2023,15,2024,1,269.0,332.9,21680682,Andrew
loss,3,2025,6,2025,8,366.7,435.18,21680682,Andrew
loss,3,2019,5,2019,7,334.26,396.88,21239480,Connor
loss,3,2020,2,2020,4,368.22,433.02,21239480,Connor
loss,3,2021,13,2021,15,311.22,369.06,21239480,Connor
loss,3,2022,1,2022,3,283.24,421.64,21239480,Connor
win,3,2021,7,2021,9,385.56,352.44,25036608,Luke
loss,3,2024,3,2024,5,327.86,388.54,25036608,Luke
win,3,2021,4,2021,6,409.7,302.0,25033943,Isaac
win,3,2021,8,2021,10,355.5,278.8,25033943,Isaac
loss,3,2022,2,2022,4,355.78,410.32,25033943,Isaac
win,3,2023,7,2023,9,404.44,289.16,25033943,Isaac
win,3,2024,11,2024,13,433.04,347.08,25033943,Isaac
loss,3,2025,13,2025,15,340.2,417.02,25033943,Isaac
loss,3,2023,13,2023,15,376.34,472.64,30533399,Evan
loss,3,2024,1,2024,3,316.18,422.78,30533399,Evan
win,3,2024,4,2024,6,390.0,360.94,30533399,Evan
loss,3,2025,5,2025,7,338.7,432.48,30533399,Evan
loss,3,2025,10,2025,12,333.2,389.78,30533399,Evan
